Round,Player,Team,POS1,POS2, Price , Priced at ,, Projection , Diff 
1,Dylan Brown,PAR,HLF,," 630,000 ", 47 ,, 49 , 3 
1,Liam Henry,PEN,MID,EDG," 542,000 ", 40 ,, 42 , 2 
1,Moses Suli,SGI,CTR,," 481,000 ", 36 ,, 38 , 3 
1,Selwyn Cobbo,BRI,CTR,WFB," 550,000 ", 41 ,, 41 , 1 
1,Tallis Duncan,SOU,MID,," 461,000 ", 34 ,, 40 , 6 
1,Moses Leota,PEN,MID,," 419,000 ", 31 ,, 28 , (3)
1,Thomas Duffy,NQL,HLF,," 272,000 ", 20 ,, 45 , 25 
1,Braidon Burns,NQL,CTR,WFB," 517,000 ", 38 ,, 44 , 6 
1,Stefano Utoikamanu,BYE,MID,," 582,000 ", 43 ,, 45 , 2 
1,Jordan McLean,NQL,MID,," 429,000 ", 32 ,, 32 , 0 
1,Ray Stone,DOL,MID,," 419,000 ", 31 ,, 25 , (6)
1,Oryn Keeley,DOL,EDG,," 347,000 ", 26 ,,,
1,Jack Cogger,NEW,HLF,," 449,000 ", 33 ,, 42 , 9 
1,Kurt Donoghoe,DOL,HLF,," 271,000 ", 20 ,, 26 , 6 
1,Zac Lomax,PAR,CTR,WFB," 643,000 ", 48 ,, 46 , (1)
1,Cody Walker,SOU,HLF,," 504,000 ", 37 ,, 43 , 6 
1,Oregon Kaufusi,CRO,MID,," 474,000 ", 35 ,, 36 , 1 
1,Lindsay Collins,SYD,MID,," 513,000 ", 38 ,, 37 , (1)
1,Tyrone Munro,SOU,WFB,," 307,000 ", 23 ,,,
1,Tallyn Da Silva,WST,HOK,," 337,000 ", 25 ,, 8 , (16)
1,Tom Dearden,NQL,HLF,," 555,000 ", 41 ,, 45 , 4 
1,Luke Garner,PEN,EDG,," 554,000 ", 41 ,, 23 , (18)
1,Alex Seyfarth,WST,MID,EDG," 466,000 ", 35 ,, 47 , 13 
1,Tui Kamikamica,BYE,MID,," 373,000 ", 28 ,, 27 , (0)
1,Jake Simpkin,MAN,HOK,," 379,000 ", 28 ,,,
1,Savelio Tamale,CAN,CTR,WFB," 329,000 ", 24 ,, 44 , 19 
1,Isaiah Iongi,PAR,WFB,," 351,000 ", 26 ,, 37 , 11 
1,Griffin Neame,NQL,MID,," 444,000 ", 33 ,, 39 , 6 
1,Siliva Havili,SOU,HOK,MID," 350,000 ", 26 ,,,
1,Salesi Foketi,SYD,EDG,," 256,000 ", 19 ,,,
1,Tyson Frizell,NEW,EDG,MID," 574,000 ", 43 ,, 39 , (3)
1,Josh Kerr,DOL,EDG,," 404,000 ", 30 ,,,
1,Corey Jensen,BRI,MID,," 601,000 ", 45 ,, 33 , (12)
1,Thomas Hazelton,CRO,MID,," 528,000 ", 39 ,, 39 , (0)
1,Sunia Turuva,WST,WFB,," 501,000 ", 37 ,, 36 , (1)
1,Bronson Xerri,CBY,CTR,," 435,000 ", 32 ,, 35 , 3 
1,Alec MacDonald,BYE,MID,," 387,000 ", 29 ,, 23 , (6)
1,Charlie Guymer,PAR,EDG,," 304,000 ", 23 ,,,
1,Jack Gosiewski,BRI,EDG,," 276,000 ", 20 ,, 37 , 17 
1,Kobe Hetherington,BRI,MID,," 418,000 ", 31 ,, 37 , 6 
1,Jayden Brailey,NEW,HOK,," 504,000 ", 37 ,, 21 , (16)
1,Jack Bird,WST,EDG,CTR," 360,000 ", 27 ,, 33 , 6 
1,Jack Hetherington,NEW,MID,," 325,000 ", 24 ,, 20 , (4)
1,Lazarus Vaalepu,BYE,MID,," 295,000 ", 22 ,,,
1,Jake Tago,PAR,WFB,," 274,000 ", 20 ,,,
1,Charnze Nicoll-Klokstad,WAR,WFB,," 565,000 ", 42 ,, 44 , 2 
1,Izack Tago,PEN,CTR,," 489,000 ", 36 ,, 40 , 4 
1,Marata Niukore,WAR,MID,EDG," 443,000 ", 33 ,, 34 , 2 
1,Isaiah Tass,SOU,CTR,WFB," 331,000 ", 25 ,, 24 , (1)
1,Dylan Walker,WAR,MID,," 555,000 ", 41 ,, 31 , (10)
1,Josh Aloiai,MAN,MID,," 381,000 ", 28 ,,,
1,Adam Pompey,WAR,CTR,," 357,000 ", 26 ,, 29 , 3 
1,Solomona Faataape,WST,CTR,," 290,000 ", 21 ,,,
1,Jacob Saifiti,NEW,MID,," 527,000 ", 39 ,, 38 , (1)
1,Blake Wilson,CBY,WFB,," 377,000 ", 28 ,, 33 , 6 
1,Jack Cole,PEN,HLF,," 261,000 ", 19 ,, 36 , 16 
1,Heath Mason,WST,WFB,," 292,000 ", 22 ,,,
1,Tevita Tatola,SOU,MID,," 455,000 ", 34 ,, 21 , (12)
1,Ethan Strange,CAN,HLF,," 481,000 ", 36 ,, 39 , 3 
1,Blake Lawrie,SGI,MID,," 417,000 ", 31 ,, 36 , 5 
1,Felise Kaufusi,DOL,MID,EDG," 432,000 ", 32 ,, 31 , (1)
1,Davvy Moale,SOU,MID,," 410,000 ", 30 ,, 30 , (0)
1,Braden Hamlin-Uele,CRO,MID,," 308,000 ", 23 ,, 27 , 5 
1,Tuku Hau Tapuha,CRO,MID,," 250,000 ", 19 ,,,
1,Xavier Willison,BRI,MID,EDG," 476,000 ", 35 ,, 36 , 1 
1,Reed Mahoney,CBY,HOK,," 629,000 ", 47 ,, 49 , 3 
1,Brian To'o,PEN,WFB,," 634,000 ", 47 ,, 47 , 1 
1,Jazz Tevaga,MAN,MID,HOK," 395,000 ", 29 ,, 36 , 7 
1,Ryley Smith,PAR,HOK,," 233,000 ", 17 ,, 37 , 20 
1,Reece Walsh,BRI,WFB,," 692,000 ", 51 ,, 51 , (0)
1,Raymond Faitala-Mariner,SGI,MID,EDG," 458,000 ", 34 ,, 22 , (12)
1,Casey McLean,PEN,CTR,WFB," 409,000 ", 30 ,, 37 , 7 
1,Junior Tupou,DOL,WFB,," 355,000 ", 26 ,,,
1,Karl Lawton,NQL,HOK,EDG," 381,000 ", 28 ,, 20 , (8)
1,Matthew Eisenhuth,PEN,MID,," 338,000 ", 25 ,,,
1,Joe Ofahengaue,PAR,MID,," 469,000 ", 35 ,, 28 , (7)
1,Fonua Pole,WST,MID,," 443,000 ", 33 ,, 39 , 7 
1,Daniel Suluka-Fifita,CBY,MID,," 249,000 ", 18 ,,,
1,Leka Halasima,WAR,EDG,," 247,000 ", 18 ,, 18 , 0 
1,Jaxon Purdue,NQL,CTR,," 245,000 ", 18 ,, 33 , 15 
1,Taylor Losalu,SYD,MID,," 235,000 ", 17 ,,,
1,Jeremiah Nanai,NQL,EDG,," 551,000 ", 41 ,, 41 , 0 
1,Kelma Tuilagi,PAR,EDG,," 404,000 ", 30 ,,,
1,Siosifa Talakai,CRO,EDG,CTR," 393,000 ", 29 ,, 21 , (8)
1,Tristan Hope,WST,HOK,," 230,000 ", 17 ,,,
1,Bayleigh Bentley-Hape,SOU,WFB,," 230,000 ", 17 ,,,
1,Ata Mariota,CAN,MID,EDG," 397,000 ", 29 ,, 30 , 1 
1,Bailey Hayward,CBY,MID,," 355,000 ", 26 ,, 22 , (5)
1,Luron Patea,PEN,MID,," 246,000 ", 18 ,,,
1,Siosiua Taukeiaho,MAN,MID,," 383,000 ", 28 ,, 32 , 4 
1,Kaeo Weekes,CAN,HLF,WFB," 530,000 ", 39 ,, 37 , (2)
1,Royce Hunt,WST,MID,," 268,000 ", 20 ,, 26 , 6 
1,Billy Walters,BRI,HOK,HLF," 420,000 ", 31 ,, 20 , (11)
1,Murray Taulagi,NQL,WFB,," 466,000 ", 35 ,, 30 , (4)
1,Makahesi Makatoa,SYD,MID,," 250,000 ", 19 ,,,
1,Fletcher Myers,SOU,CTR,WFB," 350,000 ", 26 ,,,
1,Sam Tuivaiti,PAR,MID,," 230,000 ", 17 ,,,
1,Brodie Jones,NEW,EDG,," 328,000 ", 24 ,,,
1,Matt Doorey,PAR,EDG,," 243,000 ", 18 ,, 22 , 4 
1,Daniel Atkinson,CRO,HLF,WFB," 423,000 ", 31 ,, 11 , (20)
1,Stephen Crichton,CBY,CTR,," 411,000 ", 30 ,, 37 , 7 
1,Kodi Nikorima,DOL,HLF,," 409,000 ", 30 ,, 35 , 5 
1,Sione Fainu,WST,MID,," 340,000 ", 25 ,, 19 , (6)
1,Demitric Vaimauga,WAR,EDG,," 285,000 ", 21 ,, 18 , (3)
1,Connelly Lemuelu,DOL,EDG,," 470,000 ", 35 ,, 24 , (11)
1,Tolutau Koula,MAN,CTR,WFB," 398,000 ", 29 ,, 31 , 2 
1,Mathew Feagai,SGI,WFB,," 388,000 ", 29 ,, 28 , (1)
1,Owen Pattie,CAN,HOK,," 231,000 ", 17 ,, 12 , (5)
1,Brendan Hands,PAR,HOK,," 365,000 ", 27 ,, 17 , (10)
1,Clayton Faulalo,MAN,CTR,WFB," 325,000 ", 24 ,,,
1,Corey Waddell,MAN,MID,EDG," 379,000 ", 28 ,, 19 , (9)
1,Jayden Sullivan,SOU,HLF,," 459,000 ", 34 ,, 25 , (9)
1,Victor Radley,SYD,MID,EDG," 553,000 ", 41 ,, 49 , 9 
1,Simi Sasagi,CAN,EDG,CTR," 364,000 ", 27 ,, 17 , (10)
1,Hugo Savala,SYD,HLF,," 230,000 ", 17 ,,,
1,Albert Hopoate,CAN,CTR,WFB," 402,000 ", 30 ,,,
1,Sean Russell,PAR,CTR,WFB," 324,000 ", 24 ,,,
1,Latrell Mitchell,SOU,WFB,," 800,000 ", 59 ,,,
1,David Fifita,GLD,EDG,," 780,000 ", 58 ,, 50 , (7)
1,Cameron Murray,SOU,MID,," 737,000 ", 55 ,,,
1,Jayden Campbell,GLD,HLF,WFB," 722,000 ", 53 ,, 62 , 9 
1,Soni Luke,PEN,HOK,," 350,000 ", 26 ,,,
1,Euan Aitken,SOU,EDG,," 700,000 ", 52 ,, 51 , (0)
