name,price,Proj,$/pt,OVERDIFF,BE,weekdiff,name,,,
MITCH KENNY,$557 ,39.5,41,-1.4,38,1.5,MITCH,KENNY,MITCH KENNY,Mitch Kenny
MOSES LEOTA,$515 ,36.6,38,-1.3,31,5.6,MOSES,LEOTA,MOSES LEOTA,Moses Leota
LIAM MARTIN,$455 ,37.7,33,4.2,29,8.7,LIAM,MARTIN,LIAM MARTIN,Liam Martin
scott sorenson rd20,$481 ,37.8,35,2.4,9,28.8,scott,sorenson,scott sorenson,Scott Sorensen
ISAAH YEO,$754 ,64.7,55,9.3,66,-1.3,ISAAH,YEO,ISAAH YEO,Isaah Yeo
liam henry,$497 ,37.4,37,0.9,26,11.4,liam,henry,liam henry,Liam Henry
lindsay smith,$636 ,49.5,47,2.7,60,-10.5,lindsay,smith,lindsay smith,Lindsay Smith
LUKE GARNER,$456 ,18.4,34,-15.1,26,-7.6,LUKE,GARNER,LUKE GARNER,Luke Garner
brad schneider,$349 ,6,26,-19.7,7,-1,brad,schneider,brad schneider,Brad Schneider
WILLIAM KENNEDY,$326 ,31.6,24,7.6,23,8.6,WILLIAM,KENNEDY,WILLIAM KENNEDY,William Kennedy
RONALDO MULITALO,$427 ,38.7,31,7.3,67,-28.3,RONALDO,MULITALO,RONALDO MULITALO,Ronaldo Mulitalo
mawene hiroti rd20,$431 ,35.6,32,3.9,3.8,31.8,mawene,hiroti,mawene hiroti,mawene hiroti
JESSE RAMIEN,$426 ,41.9,31,10.5,24,17.9,JESSE,RAMIEN,JESSE RAMIEN,Jesse Ramien
SIONE KATOA,$503 ,36.3,37,-0.6,40,-3.7,SIONE,KATOA,SIONE KATOA,SIONE KATOA
Braydon Trindall,$428 ,33.2,31,1.7,29,4.2,Braydon,Trindall,Braydon Trindall,Braydon Trindall
NICHO HYNES,$595 ,52.3,44,8.6,54,-1.7,NICHO,HYNES,NICHO HYNES,Nicholas Hynes
oregon kaufusi rd19,$453 ,36,33,2.7,32,4,oregon,kaufusi,oregon kaufusi,Oregon Kaufusi
BLAYKE BRAILEY,$659 ,46.8,48,-1.7,26,20.8,BLAYKE,BRAILEY,BLAYKE BRAILEY,Blayke Brailey
addin fonua-blake,$726 ,56.3,53,2.9,52,4.3,addin,fonua-blake,addin fonua-blake,Addin Fonua-Blake
TEIG WILTON rd19?,$556 ,47.4,41,6.5,50,-2.6,TEIG,WILTON,TEIG WILTON,Teig Wilton
BRITON NIKORA,$560 ,48.2,41,7,20,28.2,BRITON,NIKORA,BRITON NIKORA,Briton Nikora
CAMERON MCINNES,$655 ,47.8,48,-0.3,56,-8.2,CAMERON,MCINNES,CAMERON MCINNES,CAMERON MCINNES
